"","Year","State","State.ANSI","Data.Item","type","Value","name","Carcinogen","Hormone.Disruptor","Neurotoxins","Developmental.or.Reproductive.Toxins","Bee.Toxins"
"1",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","5,500","AZOXYSTROBIN","","","","",""
"2",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","6,200","BOSCALID","POSSIBLE","","","",""
"3",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","283,500","CAPTAN","KNOWN","","","",""
"4",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","16,600","CYPRODINIL","","","","",""
"5",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","15,000","FENHEXAMID","","","","",""
"6",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","11,100","FLUDIOXONIL","","","","","SLIGHT"
"7",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","5,600","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"8",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","1,600","PROPICONAZOLE","POSSIBLE","SUSPECTED","","PRESENT","SLIGHT"
"9",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","7,400","PYRACLOSTROBIN","","","","","SLIGHT"
"10",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","9,300","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
"11",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","4,200","TRIFLOXYSTROBIN","","","","",""
"12",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","FUNGICIDE","7,200","TRIFLUMIZOLE","","","","","SLIGHT"
"13",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","2,800","ACETAMIPRID","","","","","MODERATE"
"14",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","17,900","BIFENAZATE","","","","","MODERATE"
"15",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","7,300","BIFENTHRIN","POSSIBLE","SUSPECTED","","PRESENT","HIGH"
"16",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE"," (D)","CARBARYL","KNOWN","SUSPECTED","PRESENT","PRESENT","HIGH"
"17",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE"," (D)","CHLORPYRIFOS","","SUSPECTED","PRESENT","","HIGH"
"18",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","6,000","FENPROPATHRIN","","","","",""
"19",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","2,300","HEXYTHIAZOX","PROBABLE","","","",""
"20",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","3,500","IMIDACLOPRID","","","","","HIGH"
"21",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","56,700","MALATHION","POSSIBLE","SUSPECTED","PRESENT","","HIGH"
"22",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","3,300","METHOXYFENOZIDE","","","","","SLIGHT"
"23",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","1,200","PIPERONYL BUTOXIDE","POSSIBLE","SUSPECTED","","","MODERATE"
"24",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","100","PYRIPROXYFEN","","","","","SLIGHT"
"25",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","1,800","SPIROMESIFEN","","","","",""
"26",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","INSECTICIDE","1,400","THIAMETHOXAM","","","","","HIGH"
"27",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.205","AZOXYSTROBIN","","","","",""
"28",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.337","BOSCALID","POSSIBLE","","","",""
"29",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","1.739","CAPTAN","KNOWN","","","",""
"30",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.32","CYPRODINIL","","","","",""
"31",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.623","FENHEXAMID","","","","",""
"32",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.213","FLUDIOXONIL","","","","","SLIGHT"
"33",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.106","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"34",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.112","PROPICONAZOLE","POSSIBLE","SUSPECTED","","PRESENT","SLIGHT"
"35",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.169","PYRACLOSTROBIN","","","","","SLIGHT"
"36",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.51","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
"37",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.113","TRIFLOXYSTROBIN","","","","",""
"38",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","0.23","TRIFLUMIZOLE","","","","","SLIGHT"
"39",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.126","ACETAMIPRID","","","","","MODERATE"
"40",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.496","BIFENAZATE","","","","","MODERATE"
"41",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.109","BIFENTHRIN","POSSIBLE","SUSPECTED","","PRESENT","HIGH"
"42",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE"," (D)","CARBARYL","KNOWN","SUSPECTED","PRESENT","PRESENT","HIGH"
"43",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE"," (D)","CHLORPYRIFOS","","SUSPECTED","PRESENT","","HIGH"
"44",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.286","FENPROPATHRIN","","","","",""
"45",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.177","HEXYTHIAZOX","PROBABLE","","","",""
"46",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.515","IMIDACLOPRID","","","","","HIGH"
"47",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","1.991","MALATHION","POSSIBLE","SUSPECTED","PRESENT","","HIGH"
"48",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.174","METHOXYFENOZIDE","","","","","SLIGHT"
"49",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.478","PIPERONYL BUTOXIDE","POSSIBLE","SUSPECTED","","","MODERATE"
"50",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.067","PYRIPROXYFEN","","","","","SLIGHT"
"51",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.243","SPIROMESIFEN","","","","",""
"52",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","0.062","THIAMETHOXAM","","","","","HIGH"
"53",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.447","AZOXYSTROBIN","","","","",""
"54",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.508","BOSCALID","POSSIBLE","","","",""
"55",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","10.456","CAPTAN","KNOWN","","","",""
"56",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.765","CYPRODINIL","","","","",""
"57",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","1.163","FENHEXAMID","","","","",""
"58",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.51","FLUDIOXONIL","","","","","SLIGHT"
"59",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.281","MYCLOBUTANIL","","SUSPECTED","","PRESENT",""
"60",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.174","PROPICONAZOLE","POSSIBLE","SUSPECTED","","PRESENT","SLIGHT"
"61",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.317","PYRACLOSTROBIN","","","","","SLIGHT"
"62",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.883","PYRIMETHANIL","POSSIBLE","SUSPECTED","","","SLIGHT"
"63",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.235","TRIFLOXYSTROBIN","","","","",""
"64",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","0.55","TRIFLUMIZOLE","","","","","SLIGHT"
"65",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.182","ACETAMIPRID","","","","","MODERATE"
"66",2019,"CALIFORNIA",6,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","0.978","BIFENAZATE","","","","","MODERATE"
